Company,BTC_Held,Type
MicroStrategy (MSTR),641205,BTC Holder
Marathon Digital (MARA),52850,BTC Holder
Twenty One Capital (XXI),37229,BTC Holder
Galaxy Digital (BRPHF),17102,BTC Holder
Coinbase (COIN),14458,BTC Holder
Tesla (TSLA),11509,BTC Holder
Hut 8 Corp (HUT),10278,BTC Holder
CleanSpark (CLSK),3500,BTC Holder
BlackRock (IBIT ETF),797558,ETF Issuer
Fidelity (FBTC ETF),200745,ETF Issuer
Grayscale (GBTC ETF),170521,ETF Issuer
ARK/21Shares (ARKB ETF),41055,ETF Issuer
Bitwise (BITB ETF),40333,ETF Issuer
VanEck (HODL ETF),18277,ETF Issuer
Valkyrie (BRRR ETF),5798,ETF Issuer
Franklin Templeton (EZBC ETF),5728,ETF Issuer
Invesco/Galaxy (BTCO ETF),5189,ETF Issuer
